dataset	dpt	mlt	trait	location	Export	Import	SSS
locrisk260.1	TempEst	PhyML	country	BE	0	2	-1
locrisk260.1	TempEst	PhyML	country	BG	0	1	-1
locrisk260.1	TempEst	PhyML	country	BR	4	1	0.6
locrisk260.1	TempEst	PhyML	country	BW	1	6	-0.7142857142857143
locrisk260.1	TempEst	PhyML	country	CN	1	1	0
locrisk260.1	TempEst	PhyML	country	DE	0	1	-1
locrisk260.1	TempEst	PhyML	country	DK	0	1	-1
locrisk260.1	TempEst	PhyML	country	ES	0	5	-1
locrisk260.1	TempEst	PhyML	country	ET	1	3	-0.5
locrisk260.1	TempEst	PhyML	country	GE	0	1	-1
locrisk260.1	TempEst	PhyML	country	IL	0	4	-1
locrisk260.1	TempEst	PhyML	country	IN	4	3	0.14285714285714285
locrisk260.1	TempEst	PhyML	country	KE	2	4	-0.3333333333333333
locrisk260.1	TempEst	PhyML	country	MM	0	1	-1
locrisk260.1	TempEst	PhyML	country	MW	6	10	-0.25
locrisk260.1	TempEst	PhyML	country	NG	1	2	-0.3333333333333333
locrisk260.1	TempEst	PhyML	country	NP	1	1	0
locrisk260.1	TempEst	PhyML	country	PK	0	1	-1
locrisk260.1	TempEst	PhyML	country	SE	11	7	0.2222222222222222
locrisk260.1	TempEst	PhyML	country	SN	0	1	-1
locrisk260.1	TempEst	PhyML	country	SO	0	1	-1
locrisk260.1	TempEst	PhyML	country	TH	0	1	-1
locrisk260.1	TempEst	PhyML	country	TZ	0	15	-1
locrisk260.1	TempEst	PhyML	country	US	0	2	-1
locrisk260.1	TempEst	PhyML	country	UY	0	1	-1
locrisk260.1	TempEst	PhyML	country	YE	0	1	-1
locrisk260.1	TempEst	PhyML	country	ZA	8	17	-0.36
locrisk260.1	TempEst	PhyML	country	ZM	58	3	0.9016393442622951
locrisk260.1	TempEst	PhyML	region	Eastern Africa	48	6	0.7777777777777778
locrisk260.1	TempEst	PhyML	region	Eastern Asia	1	1	0
locrisk260.1	TempEst	PhyML	region	Eastern Europe	0	1	-1
locrisk260.1	TempEst	PhyML	region	Northern America	0	2	-1
